Code,Total,Dem,Rep,Other
NV-03,"145,719","52,644","88,528","4,547"
NV-04,"130,781","59,844","63,466","7,471"
NH-01,"242,736","116,769","125,508",459
NH-02,"238,149","130,679","106,857",613
NJ-01,"162,492","93,315","64,073","5,104"
NJ-02,"177,148","66,026","108,875","2,247"
NJ-03,"186,103","82,537","100,471","3,095"
NJ-04,"174,849","54,415","118,826","1,608"
NJ-05,"188,921","81,808","104,678","2,435"
NJ-06,"120,457","72,190","46,891","1,376"
NJ-07,"175,997","68,232","104,287","3,478"
NJ-08,"79,518","61,510","15,141","2,867"
NJ-09,"120,459","82,498","36,246","1,715"
NJ-10,"112,123","95,734","14,154","2,235"
NJ-11,"174,932","65,477","109,455",0
NJ-12,"148,366","90,430","54,168","3,768"
NM-01,"180,032","105,474","74,558",0
NM-02,"147,777","52,499","95,209",69
NM-03,"184,076","113,249","70,775",52
NY-01,"172,865","78,722","94,035",108
NY-02,"139,330","41,814","95,177","2,339"
NY-03,"164,375","90,032","74,269",74
NY-04,"170,099","89,793","80,127",179
NY-05,"79,821","75,712",0,"4,109"
NY-06,"55,963","55,368",0,595
NY-07,"63,812","56,593","5,713","1,506"
NY-08,"83,999","77,255",0,"6,744"
NY-09,"92,569","82,659",0,"9,910"
NY-10,"101,881","89,080",0,"12,801"
NY-11,"107,363","45,244","58,886","3,233"
NY-12,"113,429","90,603","22,731",95
NY-13,"78,353","68,396",0,"9,957"
NY-14,"57,204","50,352",0,"6,852"
NY-15,"56,563","54,906",0,"1,657"
NY-16,"100,391","99,658",0,733
NY-17,"174,062","98,158","75,781",123
NY-18,"179,091","88,993","85,660","4,438"
NY-19,"204,173","72,470","131,594",109
NY-20,"204,329","125,111","79,104",114
NY-21,"174,668","59,063","96,226","19,379"
NY-22,"131,932",0,"129,851","2,081"
NY-23,"183,481","70,242","113,130",109
NY-24,"199,222","80,304","118,474",444
NY-25,"192,971","96,803","95,932",236
NY-26,"166,124","113,210","52,909",5
NY-27,"203,645","58,911","144,675",59
NC-01,"210,323","154,333","55,990",0
NC-02,"207,607","85,479","122,128",0
NC-03,"205,597","66,182","139,415",0
NC-04,"227,362","169,946","57,416",0
NC-05,"228,252","88,973","139,279",0
NC-06,"251,070","103,758","147,312",0
NC-07,"226,504","84,054","134,431","8,019"
NC-08,"187,422","65,854","121,568",0
NC-09,"173,668",0,"163,080","10,588"
NC-10,"218,796","85,292","133,504",0
NC-11,"230,024","85,342","144,682",0
NC-12,"172,664","130,096","42,568",0
NC-13,"268,709","114,718","153,991",0
ND-AL,"248,670","95,678","138,100","14,892"
OH-01,"197,383","72,604","124,779",0
OH-02,"201,111","68,453","132,658",0
OH-03,"143,261","91,769","51,475",17
OH-04,"186,072","60,165","125,907",0
OH-05,"202,300","58,507","134,449","9,344"
OH-06,"190,652","73,561","111,026","6,065"
OH-07,"143,959",0,"143,959",0
OH-08,"188,330","51,534","126,539","10,257"
OH-09,"160,715","108,870","51,704",141
OH-10,"200,606","63,249","130,752","6,605"
OH-11,"172,566","137,105","35,461",0
OH-12,"221,081","61,360","150,573","9,148"
OH-13,"175,463","120,230","55,233",0
OH-14,"214,580","70,856","135,736","7,988"
OH-15,"194,621","66,125","128,496",0
OH-16,"207,375","75,199","132,176",0
OK-01,0,0,0,0
OK-02,"158,407","38,964","110,925","8,518"
OK-03,"169,605","36,270","133,335",0
OK-04,"166,268","40,998","117,721","7,549"
OK-05,"159,133","57,790","95,632","5,711"
OR-01,"279,253","160,038","96,245","22,970"
OR-02,"287,425","73,785","202,374","11,266"
OR-03,"292,757","211,748","57,424","23,585"
OR-04,"310,179","181,624","116,534","12,021"
OR-05,"281,088","150,944","110,332","19,812"
PA-01,"158,441","131,248","27,193",0
PA-02,"206,538","181,141","25,397",0
PA-03,"187,790","73,931","113,859",0
PA-04,"197,340","50,250","147,090",0
PA-05,"180,857","65,839","115,018",0
PA-06,"212,544","92,901","119,643",0
PA-07,"235,125","89,256","145,869",0
PA-08,"222,498","84,767","137,731",0
PA-09,"173,317","63,223","110,094",0
PA-10,"180,322","44,737","112,851","22,734"
PA-11,"184,692","62,228","122,464",0
PA-12,"215,921","87,928","127,993",0
PA-13,"184,150","123,601","60,549",0
PA-14,"148,351","148,351",0,0
PA-15,"128,285",0,"128,285",0
PA-16,"176,235","74,513","101,722",0
PA-17,"165,051","93,680","71,371",0
PA-18,"166,076",0,"166,076",0
RI-01,"146,353","87,060","58,877",416
RI-02,"169,904","105,716","63,844",344
SC-01,"127,815",0,"119,392","8,423"
SC-02,"194,808","68,719","121,649","4,440"
SC-03,"164,009","47,181","116,741",87
SC-04,"149,049",0,"126,452","22,597"
SC-05,"175,145","71,985","103,078",82
SC-06,"173,432","125,747","44,311","3,374"
SC-07,"171,524","68,576","102,833",115
SD-AL,"276,319","92,485","183,834",0
TN-01,"139,470",0,"115,533","23,937"
TN-02,"166,751","37,612","120,883","8,256"
TN-03,"156,097","53,983","97,344","4,770"
TN-04,"145,418","51,357","84,815","9,246"
TN-05,"154,276","96,148","55,078","3,050"
TN-06,"162,097","37,232","115,231","9,634"
TN-07,"157,907","42,280","110,534","5,093"
TN-08,"172,595","42,433","122,255","7,907"
TN-09,"116,550","87,376","27,173","2,001"
TX-01,"148,560","33,476","115,084",0
TX-02,"150,026","44,462","101,936","3,628"
TX-03,"138,280",0,"113,404","24,876"
TX-04,"115,085",0,"115,085",0
TX-05,"104,262",0,"88,998","15,264"
TX-06,"150,996","55,027","92,334","3,635"
TX-07,"143,219","49,478","90,606","3,135"
TX-08,"140,013",0,"125,066","14,947"
TX-09,"86,003","78,109",0,"7,894"
TX-10,"176,460","60,243","109,726","6,491"
TX-11,"119,574",0,"107,939","11,635"
TX-12,"158,730","41,757","113,186","3,787"
TX-13,"131,451","16,822","110,842","3,787"
TX-14,"145,698","52,545","90,116","3,037"
TX-15,"90,184","48,708","39,016","2,460"
TX-16,"73,105","49,338","21,324","2,443"
TX-17,"132,865","43,049","85,807","4,009"
TX-18,"106,010","76,097","26,249","3,664"
TX-19,"115,825","21,325","89,326","5,174"
TX-20,"87,964","66,554",0,"21,410"
TX-21,"188,996",0,"135,660","53,336"
TX-22,"151,566","47,844","100,861","2,861"
TX-23,"115,429","55,037","57,459","2,933"
TX-24,"144,073","46,548","93,712","3,813"
TX-25,"177,883","64,463","107,120","6,300"
TX-26,"141,470",0,"116,944","24,526"
TX-27,"131,047","44,152","83,342","3,553"
TX-28,"76,136","62,508",0,"13,628"
TX-29,"46,143","41,321",0,"4,822"
TX-30,"105,793","93,041",0,"12,752"
TX-31,"143,028","45,715","91,607","5,706"
TX-32,"156,096","55,325","96,495","4,276"
TX-33,"50,592","43,769",0,"6,823"
TX-34,"79,877","47,503","30,811","1,563"
TX-35,"96,225","60,124","32,040","4,061"
TX-36,"133,842","29,543","101,663","2,636"
UT-01,"130,341","36,422","84,231","9,688"
UT-02,"144,695","47,585","88,915","8,195"
UT-03,"142,580","32,059","102,952","7,569"
UT-04,"147,168","67,425","74,936","4,807"
VT-AL,"191,504","123,349","59,432","8,723"
VA-01,"209,621","72,059","131,861","5,701"
VA-02,"173,060","71,178","101,558",324
VA-03,"147,402","139,197",0,"8,205"
VA-04,"200,638","75,270","120,684","4,684"
VA-05,"204,945","73,482","124,735","6,728"
VA-06,"179,708",0,"133,898","45,810"
VA-07,"243,351","89,914","148,026","5,411"
VA-08,"203,076","128,102","63,810","11,164"
