Code,Total,Dem,Rep,Other,Obama,Romney,Dem_share,Rep_share,Winner
IL-11,"174,772","93,436","81,335",1,"152,265","107,028",53.50%,46.50%,D
IL-12,"209,738","87,860","110,038","11,840","154,346","149,339",41.90%,52.50%,R
IL-13,"210,272","86,935","123,337",0,"146,442","147,377",41.30%,58.70%,R
IL-14,"222,230","76,861","145,369",0,"139,858","171,582",34.60%,65.40%,R
IL-15,"221,926","55,652","166,274",0,"105,065","197,243",25.10%,74.90%,R
IL-16,"217,198","63,810","153,388",0,"137,165","160,606",29.40%,70.60%,R
IL-17,"199,361","110,560","88,785",16,"169,702","119,753",55.50%,44.50%,D
IL-18,"246,740","62,377","184,363",0,"125,036","202,785",25.30%,74.70%,R
IN-01,142293,86579,51000,"4,714","182,021","111,217",60.80%,35.80%,D
IN-02,145200,55590,85583,"4,027","116,324","154,841",38.30%,58.90%,R
IN-03,148793,39771,97892,"11,130","102,534","179,628",26.70%,65.80%,R
IN-04,142054,47056,94998,0,"103,103","170,245",33.10%,66.90%,R
IN-05,161440,49756,105277,"6,407","139,300","196,744",30.80%,65.20%,R
IN-06,155071,45509,102187,"7,375","106,371","172,456",29.30%,65.90%,R
IN-07,112261,61443,46887,"3,931","164,902","92,674",54.70%,41.80%,D
IN-08,171315,61384,103344,"6,587","116,465","171,648",35.80%,60.30%,R
IN-09,163387,55016,101594,"6,777","123,436","173,433",33.70%,62.20%,R
IA-01,"289,306","141,145","147,762",399,"225,585","170,753",48.80%,51.10%,R
IA-02,"273,329","143,431","129,455",443,"219,946","168,534",52.50%,47.40%,D
IA-03,"282,066","119,109","148,814","14,143","203,622","186,645",42.20%,52.80%,R
IA-04,"275,633","105,504","169,834",295,"173,391","204,685",38.30%,61.60%,R
KS-01,204161,65397,138764,0,"72,699","184,288",32.00%,68.00%,R
KS-02,225686,87153,128742,"9,791","124,370","163,082",38.60%,57.00%,R
KS-03,224280,89584,134493,203,"146,406","177,886",39.90%,60.00%,R
KS-04,208153,69396,138757,0,"96,433","164,553",33.30%,66.70%,R
KY-01,236618,63596,173022,0,"95,273","197,074",26.90%,73.10%,R
KY-02,226834,69898,156936,0,"103,432","186,207",30.80%,69.20%,R
KY-03,247355,157056,87981,"2,318","183,015","140,539",63.50%,35.60%,D
KY-04,222158,71694,150464,0,"108,328","197,131",32.30%,67.70%,R
KY-05,218967,47617,171350,0,"60,785","196,167",21.70%,78.30%,R
KY-06,245694,98290,147404,0,"128,537","170,076",40.00%,60.00%,R
LA-01,"244,004","46,047","189,250","8,707","89,418","235,877",18.90%,77.60%,R
LA-02,"221,564","190,000",0,"31,564","248,982","74,893",85.80%,0%,D
LA-03,"236,268",0,"207,926","28,342","107,611","220,490",0%,88.00%,R
LA-04,"207,919",0,"152,683","55,236","128,612","191,416",0%,73.40%,R
LA-05,"209,622","75,006","134,616",0,"124,102","201,058",35.80%,64.20%,R
LA-06,"222,990","83,781","139,209",0,"110,416","228,528",37.60%,62.40%,R
ME-01,"308,898","186,674","94,751","27,473","223,103","142,993",60.40%,30.70%,D
ME-02,"283,473","118,568","133,320","31,585","178,203","149,283",41.80%,47.00%,R
MD-01,"250,418","73,843","176,342",233,"133,521","213,073",29.50%,70.40%,R
MD-02,"196,354","120,412","70,411","5,531","195,997","109,488",61.30%,35.90%,D
MD-03,"215,946","128,594","87,029",323,"204,501","125,439",59.50%,40.30%,D
MD-04,"191,837","134,628","54,217","2,992","255,910","67,662",70.20%,28.30%,D
MD-05,"226,040","144,725","80,752",563,"234,954","114,638",64.00%,35.70%,D
MD-06,"190,536","94,704","91,930","3,902","179,172","137,744",49.70%,48.20%,D
MD-07,"206,809","144,639","55,860","6,310","251,845","74,614",69.90%,27.00%,D
MD-08,"225,097","136,722","87,859",516,"221,944","129,211",60.70%,39.00%,D
MA-01,"171,110","167,612",0,"3,498","213,423","114,339",98.00%,0%,D
MA-02,"172,745","169,640",0,"3,105","199,549","133,195",98.20%,0%,D
MA-03,"220,946","139,104","81,638",204,"189,461","137,869",63.00%,36.90%,D
MA-04,"188,098","184,158",0,"3,940","211,895","152,845",97.90%,0%,D
MA-05,"185,260","182,100",0,"3,160","235,984","119,934",98.30%,0%,D
MA-06,"272,219","149,638","111,989","10,592","212,003","169,966",55.00%,41.10%,D
MA-07,"144,546","142,133",0,"2,413","233,382","44,275",98.30%,0%,D
MA-08,"203,351","200,644",0,"2,707","213,364","150,825",98.70%,0%,D
MA-09,"255,541","140,413","114,971",157,"212,701","165,212",54.90%,45.00%,D
MI-01,"250,131","113,263","130,414","6,454","160,199","189,406",45.30%,52.10%,R
MI-02,"213,072","70,851","135,568","6,653","142,080","184,755",33.30%,63.60%,R
MI-03,"217,165","84,720","125,754","6,691","153,069","177,742",39.00%,57.90%,R
MI-04,"219,423","85,777","123,962","9,684","146,088","171,864",39.10%,56.50%,R
MI-05,"222,138","148,182","69,222","4,734","205,800","129,903",66.70%,31.20%,D
MI-06,"208,976","84,391","116,801","7,784","158,950","163,309",40.40%,55.90%,R
MI-07,"223,685","92,083","119,564","12,038","159,012","169,268",41.20%,53.50%,R
MI-08,"243,125","102,269","132,739","8,117","172,131","183,512",42.10%,54.60%,R
MI-09,"225,757","136,342","81,470","7,945","199,625","146,185",60.40%,36.10%,D
MI-10,"228,692","67,143","157,069","4,480","148,429","187,653",29.40%,68.70%,R
MI-11,"251,238","101,681","140,435","9,122","178,768","199,308",40.50%,55.90%,R
MI-12,"206,660","134,346","64,716","7,598","217,492","107,675",65.00%,31.30%,D
MI-13,"166,947","132,710","27,234","7,003","249,656","41,881",79.50%,16.30%,D
MI-14,"212,468","165,272","41,801","5,395","273,270","62,794",77.80%,19.70%,D
MN-01,"226,695","122,851","103,536",308,"170,377","165,720",54.20%,45.70%,D
MN-02,"245,848","95,565","137,778","12,505","184,802","184,576",38.90%,56.00%,R
MN-03,"269,585","101,846","167,515",224,"199,093","195,802",37.80%,62.10%,R
MN-04,"241,637","147,857","79,492","14,288","231,511","131,521",61.20%,32.90%,D
MN-05,"236,009","167,079","56,577","12,353","274,635","89,643",70.80%,24.00%,D
MN-06,"236,846","90,926","133,328","12,592","151,238","205,652",38.40%,56.30%,R
MN-07,"240,835","130,546","109,955",334,"147,750","180,334",54.20%,45.70%,D
MN-08,"266,083","129,090","125,358","11,635","186,761","166,977",48.50%,47.10%,D
MS-01,"151,111","43,713","102,622","4,776","118,438","197,984",28.90%,67.90%,R
MS-02,"148,646","100,688",0,"47,958","219,416","109,228",67.70%,0%,D
MS-03,"170,946","47,744","117,771","5,431","132,968","204,180",27.90%,68.90%,R
MS-04,"155,576","37,869","108,776","8,931","92,127","199,354",24.30%,69.90%,R
MO-01,"163,494","119,315","35,273","8,906","280,194","66,286",73.00%,21.60%,D
MO-02,"231,117","75,384","148,191","7,542","170,727","235,428",32.60%,64.10%,R
MO-03,"191,620","52,021","130,940","8,659","127,443","219,156",27.10%,68.30%,R
MO-04,"176,286","46,464","120,014","9,808","119,908","201,672",26.40%,68.10%,R
MO-05,"153,635","79,256","69,071","5,308","199,298","133,185",51.60%,45.00%,D
MO-06,"186,970","55,157","124,616","7,197","129,610","205,283",29.50%,66.70%,R
MO-07,"163,957","47,282","104,054","12,621","98,916","220,216",28.80%,63.50%,R
MO-08,"159,224","38,721","106,124","14,379","97,700","201,214",24.30%,66.70%,R
MT-AL,"367,963","148,690","203,871","15,402","201,839","267,928",40.40%,55.40%,R
NE-01,"179,057","55,838","123,219",0,"107,994","152,122",31.20%,68.80%,R
NE-02,"171,050","83,872","78,157","9,021","121,971","140,880",49.00%,45.70%,D
NE-03,"184,964","45,524","139,440",0,"72,116","182,062",24.60%,75.40%,R
NV-01,"80,299","45,643","30,413","4,243","123,205","60,813",56.80%,37.90%,D
NV-02,"186,210","52,016","122,402","11,792","131,542","155,187",27.90%,65.70%,R
NV-03,"145,719","52,644","88,528","4,547","140,501","138,238",36.10%,60.80%,R
NV-04,"130,781","59,844","63,466","7,471","136,124","109,330",45.80%,48.50%,R
NH-01,"242,736","116,769","125,508",459,"179,148","173,419",48.10%,51.70%,R
NH-02,"238,149","130,679","106,857",613,"190,413","156,499",54.90%,44.90%,D
NJ-01,"162,492","93,315","64,073","5,104","212,236","110,377",57.40%,39.40%,D
NJ-02,"177,148","66,026","108,875","2,247","166,906","141,479",37.30%,61.50%,R
NJ-03,"186,103","82,537","100,471","3,095","179,028","163,203",44.40%,54.00%,R
NJ-04,"174,849","54,415","118,826","1,608","148,622","180,439",31.10%,68.00%,R
NJ-05,"188,921","81,808","104,678","2,435","162,305","172,486",43.30%,55.40%,R
NJ-06,"120,457","72,190","46,891","1,376","163,391","99,466",59.90%,38.90%,D
NJ-07,"175,997","68,232","104,287","3,478","157,635","178,521",38.80%,59.30%,R
NJ-08,"79,518","61,510","15,141","2,867","162,232","43,032",77.40%,19.00%,D
NJ-09,"120,459","82,498","36,246","1,715","173,082","77,951",68.50%,30.10%,D
NJ-10,"112,123","95,734","14,154","2,235","239,483","31,379",85.40%,12.60%,D
NJ-11,"174,932","65,477","109,455",0,"163,493","183,775",37.40%,62.60%,R
NJ-12,"148,366","90,430","54,168","3,768","198,197","96,642",61.00%,36.50%,D
NM-01,"180,032","105,474","74,558",0,"155,915","111,749",58.60%,41.40%,D
NM-02,"147,777","52,499","95,209",69,"103,438","119,168",35.50%,64.40%,R
NM-03,"184,076","113,249","70,775",52,"155,982","104,871",61.50%,38.40%,D
NY-01,"172,865","78,722","94,035",108,"146,708","145,115",45.50%,54.40%,R
NY-02,"139,330","41,814","95,177","2,339","140,817","128,791",30.00%,68.30%,R
NY-03,"164,375","90,032","74,269",74,"155,451","147,617",54.80%,45.20%,D
NY-04,"170,099","89,793","80,127",179,"173,508","131,750",52.80%,47.10%,D
NY-05,"79,821","75,712",0,"4,109","192,374","19,325",94.90%,0%,D
NY-06,"55,963","55,368",0,595,"125,496","57,455",98.90%,0%,D
NY-07,"63,812","56,593","5,713","1,506","159,552","18,671",88.70%,9.00%,D
NY-08,"83,999","77,255",0,"6,744","210,018","23,869",92.00%,0%,D
NY-09,"92,569","82,659",0,"9,910","204,281","33,156",89.30%,0%,D
NY-10,"101,881","89,080",0,"12,801","173,650","58,992",87.40%,0%,D
NY-11,"107,363","45,244","58,886","3,233","110,407","101,262",42.10%,54.80%,R
NY-12,"113,429","90,603","22,731",95,"205,919","57,575",79.90%,20.00%,D
NY-13,"78,353","68,396",0,"9,957","219,361","10,558",87.30%,0%,D
NY-14,"57,204","50,352",0,"6,852","136,783","30,978",88.00%,0%,D
NY-15,"56,563","54,906",0,"1,657","171,366","5,315",97.10%,0%,D
NY-16,"100,391","99,658",0,733,"197,365","68,373",99.30%,0%,D
NY-17,"174,062","98,158","75,781",123,"168,020","123,190",56.40%,43.50%,D
NY-18,"179,091","88,993","85,660","4,438","149,610","137,144",49.70%,47.80%,D
NY-19,"204,173","72,470","131,594",109,"157,967","138,981",35.50%,64.50%,R
NY-20,"204,329","125,111","79,104",114,"186,460","122,230",61.20%,38.70%,D
NY-21,"174,668","59,063","96,226","19,379","138,889","122,471",33.80%,55.10%,R
NY-22,"131,932",0,"129,851","2,081","135,172","136,500",0%,98.40%,R
NY-23,"183,481","70,242","113,130",109,"133,949","137,312",38.30%,61.70%,R
NY-24,"199,222","80,304","118,474",444,"171,502","123,534",40.30%,59.50%,R
NY-25,"192,971","96,803","95,932",236,"187,753","125,897",50.20%,49.70%,D
NY-26,"166,124","113,210","52,909",5,"193,362","103,743",68.10%,31.80%,D
NY-27,"203,645","58,911","144,675",59,"140,176","180,703",28.90%,71.00%,R
NC-01,"210,323","154,333","55,990",0,"247,611","96,402",73.40%,26.60%,D
NC-02,"207,607","85,479","122,128",0,"134,016","183,972",41.20%,58.80%,R
NC-03,"205,597","66,182","139,415",0,"130,053","183,925",32.20%,67.80%,R
NC-04,"227,362","169,946","57,416",0,"258,202","99,068",74.70%,25.30%,D
NC-05,"228,252","88,973","139,279",0,"140,633","208,869",39.00%,61.00%,R
NC-06,"251,070","103,758","147,312",0,"154,073","214,871",41.30%,58.70%,R
NC-07,"226,504","84,054","134,431","8,019","136,091","202,259",37.10%,59.40%,R
NC-08,"187,422","65,854","121,568",0,"126,223","178,731",35.10%,64.90%,R
NC-09,"173,668",0,"163,080","10,588","164,739","216,215",0%,93.90%,R
NC-10,"218,796","85,292","133,504",0,"139,439","197,769",39.00%,61.00%,R
NC-11,"230,024","85,342","144,682",0,"127,563","205,553",37.10%,62.90%,R
NC-12,"172,664","130,096","42,568",0,"249,654","66,088",75.30%,24.70%,D
NC-13,"268,709","114,718","153,991",0,"170,093","216,674",42.70%,57.30%,R
ND-AL,"248,670","95,678","138,100","14,892","124,827","188,163",38.50%,55.50%,R
OH-01,"197,383","72,604","124,779",0,"168,195","190,504",36.80%,63.20%,R
OH-02,"201,111","68,453","132,658",0,"155,027","194,409",34.00%,66.00%,R
OH-03,"143,261","91,769","51,475",17,"217,969","90,434",64.10%,35.90%,D
OH-04,"186,072","60,165","125,907",0,"139,228","185,512",32.30%,67.70%,R
OH-05,"202,300","58,507","134,449","9,344","159,592","195,075",28.90%,66.50%,R
OH-06,"190,652","73,561","111,026","6,065","136,522","176,593",38.60%,58.20%,R
OH-07,"143,959",0,"143,959",0,"147,660","179,312",0%,100%,R
OH-08,"188,330","51,534","126,539","10,257","124,478","211,436",27.40%,67.20%,R
OH-09,"160,715","108,870","51,704",141,"217,146","99,223",67.70%,32.20%,D
OH-10,"200,606","63,249","130,752","6,605","172,942","179,813",31.50%,65.20%,R
OH-11,"172,566","137,105","35,461",0,"298,788","59,753",79.50%,20.50%,D
OH-12,"221,081","61,360","150,573","9,148","167,441","207,387",27.80%,68.10%,R
OH-13,"175,463","120,230","55,233",0,"212,616","119,625",68.50%,31.50%,D
OH-14,"214,580","70,856","135,736","7,988","179,769","192,270",33.00%,63.30%,R
OH-15,"194,621","66,125","128,496",0,"161,227","180,443",34.00%,66.00%,R
