GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total Population 18+,White 18+ (NH),Black 18+ (NH),Hispanic 18+,Asian and Pacific Islander 18+ (NH),Native American 18+ (NH),Other 18+ (NH),Pres08 Total Vote,Pres08 Dem Vote,Pres08 Rep Vote,Avg Dem Vote,Avg Rep Vote
42075230,0,LEBANON WD 06,Lebanon,1282,398,34,810,15,0,25,802,287,19,474,10,0,12,285,229,56,190,95
42075240,0,LEBANON WD 07,Lebanon,1975,889,69,963,31,1,22,1401,743,43,581,23,1,10,576,372,197,317,252
42075250,0,LEBANON WD 08,Lebanon,1462,1278,11,145,16,1,11,1191,1077,7,87,14,1,5,779,344,421,322,443
42075260,0,LEBANON WD 09,Lebanon,2138,1320,61,705,12,8,32,1513,1050,39,389,12,5,18,677,396,272,347,321
42075270,0,LEBANON WD 10,Lebanon,2809,1877,61,812,31,4,24,2117,1563,37,475,24,2,16,1000,539,448,457,530
42075280,0,MILLCREEK TWP Voting District,Lebanon,3892,3748,17,90,17,2,18,2835,2751,14,45,11,2,12,1401,517,874,491,900
42075300,0,MYERSTOWN VTD NORTH,Lebanon,1812,1714,19,49,9,1,20,1367,1313,12,26,5,1,10,751,280,462,246,496
42075310,0,MYERSTOWN VTD SOUTH,Lebanon,1250,1193,12,24,8,1,12,961,934,8,10,5,1,3,567,213,345,179,379
42075320,0,NORTH ANNVILLE TWP Voting District,Lebanon,2381,2331,4,24,5,1,16,1897,1868,3,13,2,1,10,1229,324,896,291,929
42075330,0,NORTH CORNWALL TWP VTD NORTH,Lebanon,4405,3449,153,629,109,11,54,3207,2651,92,352,82,9,21,2044,896,1129,789,1236
42075340,0,NORTH CORNWALL TWP VTD SOUTH,Lebanon,3148,2740,83,191,99,0,35,2475,2183,63,135,77,0,17,1450,534,906,494,946
42075350,0,NORTH LEBANON TWP VTD EAST,Lebanon,3779,3107,81,496,43,1,51,2906,2501,47,305,35,1,17,1584,724,848,645,927
42075360,0,NORTH LEBANON TWP VTD MIDDLE,Lebanon,3940,3631,39,184,47,1,38,3166,2954,29,123,34,1,25,1799,671,1101,637,1135
42075370,0,NORTH LEBANON TWP VTD WEST,Lebanon,3710,3337,45,234,69,0,25,2855,2632,25,143,48,0,7,1729,608,1096,574,1130
42075375,0,NORTH LONDONDERRY TWP VTD EAST,Lebanon,3242,3093,28,40,57,0,24,2631,2538,19,25,35,0,14,1898,669,1215,602,1282
42075380,0,NORTH LONDONDERRY TWP VTD NORTH,Lebanon,1895,1838,14,15,9,0,19,1527,1499,7,5,7,0,9,1097,363,724,322,765
42075391,0,NORTH LONDONDERRY TWP VTD WEST,Lebanon,2931,2748,18,64,65,7,29,2273,2158,15,38,44,5,13,1685,657,1018,594,1081
42075400,0,PALMYRA VTD EAST,Lebanon,2534,2375,30,68,30,2,29,1950,1840,24,45,24,2,15,1236,506,716,440,782
42075410,0,PALMYRA VTD NORTH,Lebanon,2673,2507,17,70,56,1,22,2101,1998,14,40,39,1,9,1242,540,687,446,781
42075420,0,PALMYRA VTD WEST,Lebanon,2113,1947,17,82,33,4,30,1705,1595,13,52,29,4,12,978,395,568,358,605
42075430,0,RICHLAND Voting District,Lebanon,1519,1455,3,46,2,1,12,1165,1133,3,21,1,1,6,688,248,429,223,454
42075440,0,SOUTH ANNVILLE TWP Voting District,Lebanon,2850,2732,16,72,14,1,15,2190,2127,8,38,11,1,5,1447,507,922,442,987
42077790,0,EMMAUS DIST 04,Lehigh,2070,1822,43,124,47,4,30,1655,1489,32,74,41,2,17,926,526,390,504,412
42077800,0,EMMAUS DIST 05,Lehigh,971,910,9,37,3,0,12,765,731,4,22,3,0,5,562,312,243,288,267
42077810,0,EMMAUS DIST 06,Lehigh,1680,1631,5,27,9,0,8,1330,1303,3,15,6,0,3,1103,602,485,531,556
42077820,0,FOUNTAIN HILL DIST 01,Lehigh,2034,1350,111,524,14,0,35,1639,1187,85,336,13,0,18,757,560,182,540,202
42077830,0,FOUNTAIN HILL DIST 02,Lehigh,1440,974,83,337,9,4,33,1135,839,61,214,7,3,11,639,426,202,426,202
42077840,0,FOUNTAIN HILL DIST 03,Lehigh,1123,875,48,172,6,0,22,905,751,31,107,4,0,12,567,373,187,375,185
42077850,0,HANOVER TWP Voting District,Lehigh,1571,1119,101,230,77,1,43,1271,968,73,150,60,1,19,624,388,227,353,262
42077860,0,HEIDELBERG TWP Voting District,Lehigh,3416,3260,12,82,25,2,35,2582,2495,12,44,14,2,15,1612,699,889,665,923
42077870,0,LOWER MACUNGIE TWP DIST 01,Lehigh,3713,3163,54,205,226,7,58,2868,2522,35,117,174,2,18,1862,885,953,798,1040
42077880,0,LOWER MACUNGIE TWP DIST 02,Lehigh,5710,4989,129,246,266,2,78,4276,3822,81,146,189,2,36,3132,1491,1613,1316,1788
42077890,0,LOWER MACUNGIE TWP DIST 03,Lehigh,2882,2499,44,124,165,1,49,2059,1828,31,75,106,1,18,1443,667,763,620,810
42077900,0,LOWER MACUNGIE TWP DIST 04,Lehigh,2829,2262,66,194,246,3,58,2169,1805,47,116,172,1,28,1476,723,733,654,802
42077910,0,LOWER MACUNGIE TWP DIST 05,Lehigh,1954,1848,12,45,38,0,11,1650,1577,9,29,30,0,5,1250,557,675,494,738
42077920,0,LOWER MACUNGIE TWP DIST 06,Lehigh,4530,3450,344,358,282,5,91,3104,2462,201,207,200,3,31,1860,1028,818,887,959
42077911,0,LOWER MACUNGIE TWP DIST 07,Lehigh,2446,1966,123,126,207,0,24,1695,1409,72,69,134,0,11,1266,618,639,575,682
42077912,0,LOWER MACUNGIE TWP DIST 08,Lehigh,1917,1761,21,51,71,2,11,1488,1388,14,31,49,0,6,1204,531,659,494,696
42077891,0,LOWER MACUNGIE TWP DIST 09,Lehigh,1644,1364,41,88,133,4,14,1216,1026,27,52,98,3,10,917,464,443,429,478
42077901,0,LOWER MACUNGIE TWP DIST 10,Lehigh,3008,2602,85,108,183,0,30,2246,1984,51,75,123,0,13,1451,720,727,676,771
42077930,0,LOWER MILFORD TWP Voting District,Lehigh,3775,3626,11,52,35,9,42,2906,2819,8,26,28,5,20,2041,879,1137,808,1208
42077940,0,LOWHILL TWP Voting District,Lehigh,2173,2083,17,29,15,1,28,1702,1650,14,19,10,1,8,1208,465,730,440,755
42077950,0,LYNN TWP DIST JACKSONVILLE,Lehigh,1022,977,3,26,9,0,7,798,769,3,18,6,0,2,472,179,283,178,284
42077960,0,LYNN TWP DIST LYNNVILLE,Lehigh,659,632,3,9,2,6,7,543,521,2,9,2,4,5,403,161,237,148,250
42077970,0,LYNN TWP DIST NEW TRIPOLI,Lehigh,2548,2420,12,83,8,4,21,1926,1849,11,47,5,3,11,1190,527,650,473,704
42077980,0,MACUNGIE Voting District,Lehigh,3074,2758,46,160,56,4,50,2522,2319,33,97,46,4,23,1533,839,666,762,743
42077990,0,NORTH WHITEHALL TWP DIST 01,Lehigh,3464,3288,32,86,37,0,21,2657,2553,22,47,23,0,12,1955,867,1062,812,1117
420771000,0,NORTH WHITEHALL TWP DIST 02,Lehigh,4004,3550,109,205,73,4,63,2894,2698,37,89,49,1,20,1819,795,1000,726,1069
420771010,0,NORTH WHITEHALL TWP DIST 03,Lehigh,5733,5350,63,186,64,7,63,4286,4054,43,104,44,5,36,2771,1320,1420,1261,1479
420771020,0,NORTH WHITEHALL TWP DIST 04,Lehigh,2502,2313,19,103,38,2,27,1910,1795,12,65,28,1,9,1257,547,702,545,704
420771221,0,SALISBURY TWP 05 DIST,Lehigh,3672,3017,69,196,318,4,68,2744,2333,51,114,219,3,24,1787,871,898,0,0
420771030,0,SALISBURY TWP WD 01,Lehigh,2706,2234,85,344,14,0,29,2203,1863,72,239,14,0,15,1206,698,485,693,490
420771040,0,SALISBURY TWP WD 02,Lehigh,2793,2385,73,237,31,4,63,2257,2007,52,153,23,3,19,1331,798,509,797,510
420771061,0,SALISBURY TWP WD 03 DIST 01,Lehigh,1096,1016,15,41,20,0,4,913,863,12,24,13,0,1,674,368,298,368,298
420771051,0,SALISBURY TWP WD 03 DIST 02,Lehigh,1586,1367,39,120,25,0,35,1258,1110,31,76,21,0,20,684,380,288,397,271
420771060,0,SALISBURY TWP WD 04 DIST 01,Lehigh,1424,1270,44,48,55,0,7,1155,1044,31,38,40,0,2,959,448,498,411,535
420771070,0,SALISBURY TWP WD 04 DIST 02,Lehigh,1184,1122,29,17,8,0,8,1001,963,17,12,7,0,2,614,255,350,235,370
420771080,0,SALISBURY TWP WD 05 DIST 01,Lehigh,1047,945,32,43,19,0,8,833,771,24,25,11,0,2,682,268,406,279,395
420771090,0,SALISBURY TWP WD 05 DIST 02,Lehigh,1669,1503,45,53,44,0,24,1340,1224,32,34,37,0,13,1032,454,567,448,573
420771100,0,SLATINGTON DIST 01,Lehigh,1495,1296,39,124,3,1,32,1117,1021,22,57,3,1,13,415,245,162,228,179
420771110,0,SLATINGTON DIST 02,Lehigh,999,949,7,35,2,0,6,759,732,3,20,2,0,2,377,208,157,191,174
420771120,0,SLATINGTON DIST 03,Lehigh,1738,1612,9,62,16,16,23,1368,1302,5,31,12,8,10,688,371,307,347,331
420771130,0,SOUTH WHITEHALL TWP DIST 01,Lehigh,2856,2570,63,112,70,2,39,2295,2120,41,69,48,2,15,1528,827,675,807,695
420771140,0,SOUTH WHITEHALL TWP DIST 02,Lehigh,1601,1408,35,90,45,0,23,1296,1182,24,51,33,0,6,806,420,368,415,373
